Comment,Designator,Footprint,LCSC,Quantity
SI5351A,U1,MSOP-10_3x3mm_P0.5mm,C1509083,1
2k,"R3,R4",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17604,2
OSCILLATOR,Y1,OSC-SMD_4P-L3.2-W2.5-BL_1XTV,C213404,1
105,"C1,C3",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C28323,2
100nF,"C2,C4",C_0805_2012Metric,C49678,2
~,X3,SMA_EDGELAUNCH_Same,,1
~,FID2,Fiducial_1mm_Mask2mm,,1
MOUNTINGHOLE2.5,H2,MountingHole_2.5mm,,1
MOUNTINGHOLE2.5,H1,MountingHole_2.5mm,,1
~,X2,SMA_EDGELAUNCH_Same,,1
~,JP1,1X07_ROUND_76,,1
~,X1,SMA_EDGELAUNCH_Same,,1
~,FID1,Fiducial_1mm_Mask2mm,,1
